application_id,age,income,employment_length,loan_amount,loan_purpose,debt_to_income,credit_history_length,num_credit_lines,utilization_rate,home_ownership,num_delinquencies,default
APP0000001,35,59503,9,29811,major_purchase,0.218,1,4,13.8,MORTGAGE,1,1
APP0000002,32,86778,2,19521,vacation,0.14,3,4,17.6,RENT,0,0
APP0000003,21,41243,2,6876,wedding,0.253,2,7,15.6,RENT,1,0
APP0000004,56,110682,22,33462,other,0.11,31,13,9.2,MORTGAGE,0,0
APP0000005,40,92221,19,17194,major_purchase,0.182,3,2,14.7,OWN,0,0
APP0000006,46,31825,15,9908,wedding,0.161,2,2,65.0,RENT,1,1
APP0000007,41,58837,9,8362,other,0.088,17,6,16.5,MORTGAGE,0,0
APP0000008,22,60335,3,25160,major_purchase,0.372,0,4,18.3,RENT,1,1
APP0000009,47,34178,25,3884,other,0.147,8,6,43.6,RENT,0,0
APP0000010,48,48344,12,19713,car,0.155,6,8,39.9,OWN,0,0
APP0000011,27,42891,4,24051,wedding,0.21,0,3,13.4,RENT,2,1
APP0000012,34,72690,12,21226,debt_consolidation,0.257,3,7,22.0,RENT,0,0
APP0000013,61,80230,25,20716,debt_consolidation,0.097,5,4,11.0,OWN,0,0
APP0000014,62,51265,2,21839,car,0.298,31,15,30.6,OWN,0,0
APP0000015,45,47705,8,13111,home_improvement,0.263,1,8,23.5,RENT,0,0
APP0000016,32,52935,6,36339,major_purchase,0.21,3,6,29.1,RENT,0,0
APP0000017,40,39460,0,2650,wedding,0.154,1,5,30.6,RENT,2,1
APP0000018,45,74346,6,19444,wedding,0.328,4,3,34.3,MORTGAGE,0,0
APP0000019,37,42493,2,19940,debt_consolidation,0.224,8,2,24.9,RENT,1,0
APP0000020,49,55799,27,12566,home_improvement,0.401,18,8,1.7,MORTGAGE,0,0
APP0000021,49,79486,2,15544,car,0.145,9,8,40.5,MORTGAGE,0,0
APP0000022,25,50151,0,24475,debt_consolidation,0.163,1,1,60.2,RENT,2,1
APP0000023,31,79908,9,24614,medical,0.243,8,7,9.0,MORTGAGE,0,0
APP0000024,39,50225,14,9800,debt_consolidation,0.228,12,9,33.7,MORTGAGE,0,0
APP0000025,47,51376,18,23878,wedding,0.141,12,8,17.2,MORTGAGE,0,0
APP0000026,39,22338,14,6363,medical,0.357,20,16,19.9,RENT,0,1
APP0000027,61,56034,9,33120,other,0.234,2,2,15.7,MORTGAGE,1,0
APP0000028,39,25595,15,6498,medical,0.104,15,8,28.8,RENT,3,0
APP0000029,35,21311,16,1654,other,0.204,11,7,46.6,MORTGAGE,2,1
APP0000030,30,47709,4,11210,home_improvement,0.246,2,5,46.4,MORTGAGE,0,1
APP0000031,40,29036,1,28873,debt_consolidation,0.434,15,7,44.3,RENT,1,0
APP0000032,21,47978,0,14063,vacation,0.152,0,5,29.4,OWN,2,0
APP0000033,46,50476,5,6418,major_purchase,0.272,20,8,9.8,OWN,1,0
APP0000034,42,73064,18,21542,car,0.109,11,11,47.7,MORTGAGE,0,1
APP0000035,56,62973,25,11585,vacation,0.329,36,9,41.4,RENT,0,0
APP0000036,33,47308,7,22673,medical,0.249,7,6,37.9,MORTGAGE,2,0
APP0000037,43,53883,9,15020,other,0.361,1,3,22.9,MORTGAGE,0,0
APP0000038,60,63045,33,24381,home_improvement,0.292,24,5,27.8,OWN,0,0
APP0000039,21,50104,1,9533,major_purchase,0.151,1,3,50.8,RENT,0,0
APP0000040,44,40287,6,8501,vacation,0.196,15,7,44.8,MORTGAGE,0,0
APP0000041,38,55610,2,11829,home_improvement,0.242,1,4,48.1,OWN,1,0
APP0000042,31,57658,10,25767,wedding,0.212,1,6,18.5,RENT,2,0
APP0000043,49,122265,7,21499,vacation,0.256,26,7,10.8,MORTGAGE,0,0
APP0000044,33,44216,12,6588,wedding,0.215,0,5,77.1,RENT,0,0
APP0000045,52,50986,15,6658,car,0.093,4,1,16.1,OWN,0,0
APP0000046,21,87719,2,24325,vacation,0.079,2,2,48.0,MORTGAGE,0,0
APP0000047,34,54046,1,18712,wedding,0.129,7,3,11.9,MORTGAGE,0,0
APP0000048,40,82579,17,9703,car,0.049,6,3,20.6,MORTGAGE,0,0
APP0000049,45,161652,26,42373,other,0.237,23,10,31.6,MORTGAGE,0,0
APP0000050,37,101827,7,41428,wedding,0.15,17,8,23.9,RENT,0,0
APP0000051,57,60176,14,14941,home_improvement,0.251,31,12,31.5,RENT,0,0
APP0000052,24,22566,2,8203,other,0.279,0,1,54.8,MORTGAGE,1,1
APP0000053,35,34978,8,4031,major_purchase,0.1,7,5,33.8,RENT,0,0
APP0000054,21,64146,2,25475,wedding,0.284,1,2,32.3,RENT,1,0
APP0000055,47,27581,5,6612,home_improvement,0.254,22,12,20.3,MORTGAGE,1,0
APP0000056,42,32564,12,4999,vacation,0.389,5,5,33.3,RENT,1,0
APP0000057,32,24380,8,8347,other,0.228,9,6,10.2,RENT,2,1
APP0000058,54,45410,35,19289,wedding,0.207,11,14,25.8,MORTGAGE,1,1
APP0000059,30,91970,1,55586,car,0.441,1,2,20.1,MORTGAGE,2,0
APP0000060,63,33689,14,18934,wedding,0.301,3,5,28.5,RENT,0,0
APP0000061,39,20000,14,5049,major_purchase,0.16,6,2,62.2,RENT,0,0
APP0000062,47,42062,10,7249,vacation,0.386,4,5,22.9,RENT,1,0
APP0000063,42,75321,2,26361,other,0.184,5,3,7.2,MORTGAGE,0,0
APP0000064,21,61919,1,10388,vacation,0.138,1,4,38.3,MORTGAGE,0,0
APP0000065,27,41362,0,24663,wedding,0.189,5,4,52.3,MORTGAGE,0,0
APP0000066,32,51683,13,14461,vacation,0.203,11,4,58.0,RENT,1,0
APP0000067,37,28376,2,7711,medical,0.116,12,6,39.8,MORTGAGE,3,1
APP0000068,33,39277,5,14958,wedding,0.115,9,10,27.7,OWN,0,0
APP0000069,36,118314,2,35740,medical,0.392,14,5,37.1,MORTGAGE,0,0
APP0000070,28,118320,3,62704,other,0.165,6,4,45.3,RENT,1,1
APP0000071,44,40176,0,25824,car,0.19,16,11,21.7,MORTGAGE,1,0
APP0000072,43,30577,8,8162,debt_consolidation,0.289,12,9,22.6,RENT,0,1
APP0000073,45,52206,5,22974,home_improvement,0.188,4,3,14.9,RENT,0,0
APP0000074,36,77574,14,67375,medical,0.346,12,5,26.4,RENT,2,0
APP0000075,49,60888,6,6618,wedding,0.231,27,9,31.4,RENT,0,0
APP0000076,60,40578,38,12084,medical,0.152,14,7,30.0,MORTGAGE,0,0
APP0000077,53,44369,7,15463,major_purchase,0.28,3,1,74.1,OWN,2,1
APP0000078,33,65311,12,26401,vacation,0.189,10,9,21.9,MORTGAGE,0,0
APP0000079,51,121448,21,21347,home_improvement,0.107,20,9,7.1,OWN,0,0
APP0000080,36,44010,4,19128,medical,0.236,4,4,11.8,MORTGAGE,1,0
APP0000081,27,95137,2,29997,debt_consolidation,0.328,5,6,16.4,RENT,0,0
APP0000082,22,33018,2,8859,wedding,0.121,2,1,43.4,RENT,0,0
APP0000083,33,59254,1,16460,other,0.171,7,5,35.2,MORTGAGE,0,0
APP0000084,46,96060,1,39083,medical,0.4,13,6,22.8,OWN,0,0
APP0000085,25,49319,4,14116,other,0.375,5,2,71.3,RENT,2,1
