application_id,age,income,employment_length,loan_amount,loan_purpose,debt_to_income,credit_history_length,num_credit_lines,utilization_rate,home_ownership,num_delinquencies,default
APP0000001,43,53980,10,12112,major_purchase,0.131,7,3,22.2,RENT,0,1
APP0000002,21,52586,2,25335,vacation,0.142,0,1,19.8,RENT,0,1
APP0000003,32,112395,5,44713,medical,0.202,9,4,26.0,MORTGAGE,0,0
APP0000004,57,77387,34,40232,debt_consolidation,0.201,34,16,59.5,MORTGAGE,0,0
APP0000005,43,83581,22,22466,vacation,0.257,13,4,30.6,RENT,1,0
APP0000006,46,43715,27,10955,major_purchase,0.146,27,8,28.8,OWN,0,0
APP0000007,21,38133,2,12040,other,0.171,1,5,46.3,RENT,1,0
APP0000008,41,51085,16,11546,other,0.256,5,4,24.6,RENT,0,0
APP0000009,43,20000,7,6191,medical,0.266,0,4,21.3,MORTGAGE,2,0
APP0000010,27,35588,7,5810,medical,0.073,3,2,28.2,RENT,0,0
APP0000011,26,86026,7,25747,medical,0.095,3,7,63.1,MORTGAGE,0,0
APP0000012,40,71423,2,8936,wedding,0.26,0,1,26.2,RENT,3,1
APP0000013,50,62869,16,10599,car,0.081,7,10,36.1,OWN,1,0
APP0000014,38,66133,4,24504,home_improvement,0.221,0,5,6.6,RENT,3,0
APP0000015,28,115868,9,65492,wedding,0.203,9,5,46.0,RENT,0,0
APP0000016,60,45694,4,13778,home_improvement,0.174,35,5,19.5,MORTGAGE,0,0
APP0000017,43,73060,11,12299,home_improvement,0.36,2,4,21.1,MORTGAGE,0,0
APP0000018,28,75810,8,20556,vacation,0.328,3,5,30.6,MORTGAGE,0,0
APP0000019,30,44339,3,11207,home_improvement,0.136,11,8,24.6,MORTGAGE,0,0
APP0000020,42,64827,9,9621,major_purchase,0.081,8,3,33.4,MORTGAGE,0,0
APP0000021,21,38104,1,10826,other,0.237,1,1,40.6,RENT,1,1
APP0000022,43,53182,18,14186,car,0.283,19,7,40.6,RENT,2,0
APP0000023,42,146545,0,18667,debt_consolidation,0.244,20,12,49.8,MORTGAGE,0,1
APP0000024,41,67484,4,14474,vacation,0.18,5,6,64.7,MORTGAGE,0,0
APP0000025,68,89042,29,32677,wedding,0.109,14,12,5.5,RENT,0,0
